tweet_Id,text,name,screen_name,UTC,created_at,favorites,retweet_count,language,client,tweet_type,urls,hashtags,mentions,media_type,media_urls,,,
1.37E+18,Book: The Business of Venture Capital https://t.co/0KOp5CC8d4,Brad Feld,bfeld,2021-03-24T13:44:06.000Z,Wed Mar 24 13:44:06 +0000 2021,124,22,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/book-the-business-of-venture-capital-2.html ,0,0,,,,,
1.37E+18,"RT @StephenKing : While I was writing THE SHINING and THE STAND, I lived on 42nd Street in Boulder, a 5-minute walk from the Table Mesa King Soopers.",Brad Feld,bfeld,2021-03-23T22:20:38.000Z,Tue Mar 23 22:20:38 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1.37E+18,King Soopers Table Mesa | Moodyville https://t.co/yADs29Yfhh by @chrismoodycom,Brad Feld,bfeld,2021-03-23T18:28:46.000Z,Tue Mar 23 18:28:46 +0000 2021,9,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3cbVcnB ,0,1,,,,,
1.37E+18,"If you want to provide some financial support to victims of the Boulder King Soopers Tragedy,  Colorado Healing Fund issues payments to victims’ advocate organizations that are working directly with victims of the mass tragedy. https://t.co/0DEKpsmH9Q",Brad Feld,bfeld,2021-03-23T15:34:18.000Z,Tue Mar 23 15:34:18 +0000 2021,40,16,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/31dgMlc ,0,0,,,,,
1.37E+18,"Support Families of King Soopers Massacre Boulder, organized by Ryan Van Duzer https://t.co/SjVmgTAgXW https://t.co/UCbkku024k",Brad Feld,bfeld,2021-03-23T15:25:05.000Z,Tue Mar 23 15:25:05 +0000 2021,15,6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/2Qp4jJ2 ,0,0,photo,https://pbs.twimg.com/media/ExLI3djVkAIdV3r.jpg,,,
1.37E+18,RT @boulderpolice : #BoulderShooting live update 3/23/21 8:30 AM https://t.co/T3yXqQ1TP9,Brad Feld,bfeld,2021-03-23T14:39:26.000Z,Tue Mar 23 14:39:26 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/i/broadcasts/1vAxRwMvbrVKl ,1,0,,,,,
1.37E+18,RT @chrismoodycom : We are safe. This horrible incident took place at our neighborhood store which we visit almost every single day. Our kids go there after school for free cookies. Thoughts are with the community &amp; especially the families impacted directly. So sad &amp; unnecessary.,Brad Feld,bfeld,2021-03-23T14:32:57.000Z,Tue Mar 23 14:32:57 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,,,,,
1.37E+18,A Sad and Scary Day In Boulder https://t.co/oSngkTWHeA,Brad Feld,bfeld,2021-03-23T14:01:35.000Z,Tue Mar 23 14:01:35 +0000 2021,38,9,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/a-sad-and-scary-day-in-boulder.html ,0,0,,,,,
1.37E+18,"RT @inminivanhell : “Boulder feels like a bubble, and the bubble burst...It doesn’t feel like there’s anywhere safe anymore sometimes. And this feels like the safest spots in America, and I just nearly got killed for getting a soda and a bag of chips.”

Ryan Borowski, shooting survivor https://t.co/crqLszYbbP",Brad Feld,bfeld,2021-03-23T02:54:28.000Z,Tue Mar 23 02:54:28 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ExHsPEZU8AAJdAq.jpg,,,
1.37E+18,RT @mitchellbyars : ALERT: #Boulder emergency crews responding to report of shooting at King Soopers on Table Mesa. AVOID AREA,Brad Feld,bfeld,2021-03-22T20:46:52.000Z,Mon Mar 22 20:46:52 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,0,,,,,
1.37E+18,BIPOC Artists in Colorado https://t.co/RJ9YnEbArr,Brad Feld,bfeld,2021-03-22T20:32:01.000Z,Mon Mar 22 20:32:01 +0000 2021,4,0,ca,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/bipoc-artists-in-colorado.html ,0,0,,,,,
1.37E+18,"RT @elibwong : “If Techstars expands in Mexico, who can help?” with @davidcohen, @sabakarimm, @bfeld, Isaac Saldana, and Inside Techstars. Tomorrow, 23 Mar at 5:00 p.m. CST on @joinclubhouse! https://t.co/Wf4BttBjc8",Brad Feld,bfeld,2021-03-22T20:19:40.000Z,Mon Mar 22 20:19:40 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.joinclubhouse.com/event/m3vjAvWM ,0,4,,,,,
1.37E+18,"Give First Podcast with Maëlle Gavet, Techstars New CEO https://t.co/1UGjsejIij",Brad Feld,bfeld,2021-03-22T19:57:13.000Z,Mon Mar 22 19:57:13 +0000 2021,7,0,und,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/give-first-podcast-with-maelle-gavet-techstars-new-ceo.html ,0,0,,,,,
1.37E+18,Community and collaboration make startups better. Great to see Techstars prioritizing both to support climate and sustainability founders globally. https://t.co/kocUnW0daK,Brad Feld,bfeld,2021-03-19T22:09:50.000Z,Fri Mar 19 22:09:50 +0000 2021,18,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://tsta.rs/2kVg50DZg21 ,0,0,,,,,
1.37E+18,I used to eat at Royal East all the time when I lived in Cambridge. Help the Royal East Relief Fund https://t.co/CiW09yFn7O,Brad Feld,bfeld,2021-03-19T17:25:02.000Z,Fri Mar 19 17:25:02 +0000 2021,6,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.gofundme.com/f/SaveRoyalEast?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet ,0,0,,,,,
1.37E+18,The Covid Churn You're Not Thinking About - VC Adventure https://t.co/Fy2XFHpZ72 by @sether https://t.co/I5SfjvfOCR,Brad Feld,bfeld,2021-03-19T15:25:14.000Z,Fri Mar 19 15:25:14 +0000 2021,23,5,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3lvXq4c ,0,1,photo,https://pbs.twimg.com/media/Ew2ii4TWEAYhTRp.png,,,
1.37E+18,What I Mean When I Say I’m Indifferent https://t.co/Cj2CjjWdgw,Brad Feld,bfeld,2021-03-19T14:56:39.000Z,Fri Mar 19 14:56:39 +0000 2021,12,2,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/what-i-mean-when-i-say-im-indifferent.html ,0,0,,,,,
1.37E+18,"RT @techstars : Listen Now ??: Our new CEO @MaelleGavet joined hosts @davidcohen &amp; @bfeld in the latest #GiveFirst Podcast to discuss her favorite foods &amp; cities, why she's a great fit for Techstars, and most importantly - what she loves most about Techstars: https://t.co/R3SqcNFxWu https://t.co/v8lorTPUjM",Brad Feld,bfeld,2021-03-18T21:47:09.000Z,Thu Mar 18 21:47:09 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://tsta.rs/pWHw50E1xQH ,1,3,video,https://video.twimg.com/ext_tw_video/1372266804391870464/pu/vid/540x540/AC7FE2v7jwvKXdE8.mp4?tag=12,,,
1.37E+18,RT @techstars : Get to know our new CEO @MaelleGavet and the future of Techstars in the latest Give First Podcast with @davidcohen &amp; @bfeld. https://t.co/GIZz9rvXPu,Brad Feld,bfeld,2021-03-18T21:46:23.000Z,Thu Mar 18 21:46:23 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://tsta.rs/RVlb50E2FUn ,0,3,,,,,
